timestamp,machine_id,rotational_speed,temperature_air,torque,tool_wear,machine_failure,rotational_speed_roll_mean_8h,temperature_air_roll_mean_8h,torque_roll_mean_8h,tool_wear_roll_mean_8h,rotational_speed_roll_std_8h,temperature_air_roll_std_8h,torque_roll_std_8h,tool_wear_roll_std_8h,rotational_speed_roll_skew_8h,temperature_air_roll_skew_8h,torque_roll_skew_8h,tool_wear_roll_skew_8h,rotational_speed_trend_slope_24h,temperature_air_trend_slope_24h,torque_trend_slope_24h,tool_wear_trend_slope_24h,CSLM_cycles
2025-12-02 18:19:55.706345+00:00,H29424,1782.0,298.4,23.9,24.0,0,1782.0,298.4,23.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2025-12-02 18:20:55.706345+00:00,H29425,1423.0,298.6,44.3,29.0,0,1423.0,298.6,44.3,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2025-12-02 18:27:55.706345+00:00,H29432,1306.0,298.8,54.5,50.0,0,1306.0,298.8,54.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2025-12-02 18:29:55.706345+00:00,H29434,1375.0,298.9,42.7,58.0,0,1375.0,298.9,42.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
2025-12-02 18:36:55.706345+00:00,H29441,1811.0,299.1,24.6,77.0,0,1811.0,299.1,24.6,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
2025-12-02 18:47:55.706345+00:00,H29452,1379.0,298.9,50.7,106.0,0,1379.0,298.9,50.7,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
2025-12-02 18:52:55.706345+00:00,H29457,1372.0,298.8,48.5,120.0,0,1372.0,298.8,48.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
2025-12-02 18:57:55.706345+00:00,H29462,1425.0,298.8,53.9,135.0,0,1425.0,298.8,53.9,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
2025-12-02 19:01:55.706345+00:00,H29466,1497.0,298.8,43.8,147.0,0,1497.0,298.8,43.8,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
2025-12-02 19:16:55.706345+00:00,H29481,1466.0,298.8,44.1,184.0,0,1466.0,298.8,44.1,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0
